symbol,exchange,name,country,data,updated_at,fund_score
PG,BA,,,"{""eps"": 532.8813, ""name"": ""Procter & Gamble Company Cert Deposito Arg Repr 0.06666667 Sh"", ""sector"": ""Consumer Non-Durables"", ""peRatio"": 28.244856177153892, ""industry"": ""Household/Personal Care"", ""marketCap"": 492258133668135.2, ""dividendYield"": 1.8326118}",2026-01-13 21:11:32.349868+00,
PHAR,EGX,,,"{""eps"": null, ""name"": ""Egyptian International Pharmaceutical Industries Co."", ""sector"": ""Health Technology"", ""peRatio"": null, ""industry"": ""Pharmaceuticals: Other"", ""marketCap"": 13331704453.0, ""dividendYield"": 3.7974682}",2026-01-13 21:18:47.622002+00,
PHDC,EGX,,,"{""eps"": 1.552, ""name"": ""Palm Hills Development Co."", ""sector"": ""Finance"", ""peRatio"": 5.412371134020619, ""industry"": ""Real Estate Development"", ""marketCap"": 24881253922.0, ""dividendYield"": null}",2026-01-13 21:18:50.581116+00,
PHTV,EGX,,,"{""eps"": null, ""name"": ""Pyramisa Hotels"", ""sector"": ""Consumer Services"", ""peRatio"": null, ""industry"": ""Hotels/Resorts/Cruise lines"", ""marketCap"": 4581395457.0, ""dividendYield"": null}",2026-01-13 21:18:51.302166+00,
PLTR,BA,,,"{""eps"": 185.1684, ""name"": ""Palantir Technologies Inc. Shs Cert Deposito Arg Repr 0.3333333333 Sh"", ""sector"": ""Technology Services"", ""peRatio"": 533.4703232434996, ""industry"": ""Packaged Software"", ""marketCap"": 627918674750367.0, ""dividendYield"": null}",2026-01-13 21:11:31.562907+00,
POLL,BA,,,"{""eps"": -21.0321, ""name"": ""Polledo S.A.I.C. y F."", ""sector"": ""Industrial Services"", ""peRatio"": null, ""industry"": ""Engineering & Construction"", ""marketCap"": 1990322123.0, ""dividendYield"": null}",2026-01-13 21:11:36.672611+00,
POUL,EGX,,,"{""eps"": 1.1005, ""name"": ""Cairo Poultry Co."", ""sector"": ""Process Industries"", ""peRatio"": 22.744207178555204, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 12315130361.0, ""dividendYield"": null}",2026-01-13 21:18:51.075404+00,
PRCL,EGX,,,"{""eps"": null, ""name"": ""General Co. for Ceramic & Porcelain Products"", ""sector"": ""Non-Energy Minerals"", ""peRatio"": null, ""industry"": ""Construction Materials"", ""marketCap"": 803336066.0, ""dividendYield"": null}",2026-01-13 21:18:50.819152+00,
PRDC,EGX,,,"{""eps"": null, ""name"": ""Pioneers Properties for Urban Development"", ""sector"": ""Finance"", ""peRatio"": null, ""industry"": ""Real Estate Development"", ""marketCap"": 4122578045.9999995, ""dividendYield"": null}",2026-01-13 21:18:54.482153+00,
PRMH,EGX,,,"{""eps"": null, ""name"": ""Prime Holding"", ""sector"": ""Finance"", ""peRatio"": null, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 595000017.0, ""dividendYield"": null}",2026-01-13 21:18:53.769334+00,
QCOMD,BA,,,"{""eps"": 410.096200114827, ""name"": ""QUALCOMM Incorporated Shs Cert.Deposito Arg.Repr. 0.0909 Shs"", ""sector"": ""Electronic Technology"", ""peRatio"": 53.42964090953507, ""industry"": ""Semiconductors"", ""marketCap"": 266208773202350.84, ""dividendYield"": 1.2836171}",2026-01-13 21:11:37.397433+00,
QNBE,EGX,,,"{""eps"": 12.8447, ""name"": ""Qatar National Bank"", ""sector"": ""Finance"", ""peRatio"": null, ""industry"": ""Regional Banks"", ""marketCap"": 100414748421.0, ""dividendYield"": 3.2188845}",2026-01-13 21:18:54.004577+00,
